,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lake City,30.19,-82.64,77.0,88,90,3.49,US,1595445985
1,Necochea,-38.55,-58.74,48.0,98,100,23.0,AR,1595446244
2,Klyuchi,52.27,79.17,60.15,71,0,5.37,RU,1595446244
3,Laguna,38.42,-121.42,79.0,44,1,13.87,US,1595445838
4,Stykkisholmur,65.08,-22.73,48.99,72,27,6.62,IS,1595446244
5,Kruisfontein,-34.0,24.73,55.06,82,0,4.54,ZA,1595445866
6,New Norfolk,-42.78,147.06,42.01,87,6,1.99,AU,1595445818
7,Butaritari,3.07,172.79,83.21,75,93,15.64,KI,1595445818
8,Beloha,-25.17,45.05,60.28,74,0,8.77,MG,1595446245
9,Bakchar,57.02,82.07,42.89,92,1,4.9,RU,1595446245
10,Dikson,73.51,80.55,40.23,92,3,5.93,RU,1595446246
11,East London,-33.02,27.91,63.59,62,0,5.93,ZA,1595446246
12,Clyde River,70.47,-68.59,46.4,93,90,3.36,CA,1595446246
13,San Jose,37.34,-121.89,77.0,46,20,5.82,US,1595446046
14,Punta Arenas,-53.15,-70.92,28.4,92,40,10.29,CL,1595446247
15,Mataura,-46.19,168.86,39.0,83,94,3.0,NZ,1595446247
16,Marsh Harbour,26.54,-77.06,84.2,74,99,17.52,BS,1595446247
17,Shankargarh,25.18,81.62,88.83,60,81,3.04,IN,1595446248
18,Saskylakh,71.92,114.08,44.49,92,100,12.5,RU,1595446248
19,Doha,25.29,51.53,100.0,53,0,9.17,QA,1595446063
20,Lorica,9.24,-75.81,84.2,79,90,5.82,CO,1595446249
21,Busselton,-33.65,115.33,57.99,54,33,20.78,AU,1595446249
22,Kyela,-9.58,33.85,66.63,78,28,1.5,TZ,1595446249
23,Comodoro Rivadavia,-45.87,-67.5,41.0,80,40,3.36,AR,1595446202
24,Kapaa,22.08,-159.32,82.99,100,90,6.93,US,1595446250
25,Ushuaia,-54.8,-68.3,39.2,60,96,3.36,AR,1595446250
26,Bluff,-46.6,168.33,39.0,83,98,3.0,NZ,1595446251
27,Prince George,53.92,-122.75,70.0,63,90,3.42,CA,1595446008
28,Nanortalik,60.14,-45.24,54.75,61,84,11.92,GL,1595446251
29,Chokurdakh,70.63,147.92,77.2,47,87,4.56,RU,1595446251
30,Yellowknife,62.46,-114.35,63.0,100,90,8.05,CA,1595446252
31,San Angelo,31.46,-100.44,98.6,32,20,5.82,US,1595446252
32,Hobart,-42.88,147.33,43.0,75,1,1.12,AU,1595446147
33,Berlevåg,70.86,29.09,48.2,100,75,14.99,NO,1595446252
34,Calbuco,-41.77,-73.13,55.4,58,100,8.05,CL,1595446253
35,Cape Town,-33.93,18.42,57.0,93,0,4.7,ZA,1595446253
36,Port Alfred,-33.59,26.89,62.69,81,0,8.21,ZA,1595446254
37,Vaini,-21.2,-175.2,59.0,93,40,3.36,TO,1595446254
38,Mar del Plata,-38.0,-57.56,50.0,93,90,26.4,AR,1595446220
39,Hofn,64.25,-15.21,53.6,76,75,6.93,IS,1595446255
40,Qaqortoq,60.72,-46.03,68.0,24,40,29.97,GL,1595446255
41,Avarua,-21.21,-159.78,75.2,94,0,13.87,CK,1595446256
42,Rikitea,-23.12,-134.97,67.59,57,100,14.38,PF,1595446256
43,Pokhara,28.23,83.98,71.56,80,86,1.43,NP,1595446210
44,Saint Paul Harbor,57.79,-152.41,62.6,51,40,10.29,US,1595446257
45,Diré,12.28,-10.97,77.22,91,100,6.73,ML,1595446257
46,Ulaangom,49.98,92.07,62.94,60,100,3.6,MN,1595446257
47,Esperance,-33.87,121.9,55.4,58,40,18.34,AU,1595446258
48,Gairo,39.85,9.5,77.0,94,20,10.29,IT,1595446258
49,Atuona,-9.8,-139.03,79.65,73,0,18.1,PF,1595446258
50,Pleasant Point,-44.27,171.13,39.99,92,100,2.91,NZ,1595446259
51,Acaraú,-2.89,-40.12,80.42,66,7,16.08,BR,1595446259
52,Khatanga,71.97,102.5,48.34,78,100,10.8,RU,1595446259
53,Narsaq,60.92,-46.05,68.0,24,40,29.97,GL,1595446260
54,Tasiilaq,65.61,-37.64,44.6,81,40,6.93,GL,1595446260
55,Ancud,-41.87,-73.82,53.6,46,100,6.93,CL,1595446260
56,Port Macquarie,-31.43,152.92,48.99,96,100,4.12,AU,1595446261
57,Medicine Hat,50.05,-110.67,90.0,29,20,9.17,CA,1595446261
58,Santarém,-2.44,-54.71,84.2,79,75,4.7,BR,1595446126
59,Hermanus,-34.42,19.23,55.0,94,0,6.04,ZA,1595446262
60,Dauphin,51.15,-100.05,77.0,61,40,8.05,CA,1595446175
61,Kapasan,-6.78,111.38,73.4,86,64,5.97,ID,1595446262
62,Albany,42.6,-73.97,86.0,56,78,3.24,US,1595446159
63,Papar,5.73,115.93,77.0,94,20,3.36,MY,1595446263
64,Srikakulam,18.3,83.9,81.68,86,100,13.11,IN,1595446263
65,Acajutla,13.59,-89.83,80.01,84,100,5.53,SV,1595446241
66,Pittsfield,42.45,-73.25,82.99,65,20,11.41,US,1595446264
67,Camopi,3.17,-52.32,73.53,94,100,3.4,GF,1595446264
68,Kungurtug,50.6,97.52,54.28,85,100,1.77,RU,1595446264
69,Vardø,70.37,31.11,55.4,87,58,9.17,NO,1595446264
70,Eyl,7.98,49.82,79.59,68,41,24.25,SO,1595446265
71,Peterhead,57.51,-1.8,57.2,87,40,5.82,GB,1595446126
72,Pacifica,37.61,-122.49,69.8,56,40,11.41,US,1595446084
73,Qaanaaq,77.48,-69.36,48.34,52,0,0.43,GL,1595446265
74,Twin Falls,42.56,-114.46,84.2,32,1,11.41,US,1595446228
75,Russell,32.35,-85.2,95.0,41,40,6.93,US,1595446234
76,Carnarvon,-24.87,113.63,57.2,100,0,8.05,AU,1595446266
77,Shimoda,34.67,138.95,70.0,93,100,4.92,JP,1595446266
78,George Town,5.41,100.34,78.8,94,40,2.24,MY,1595446218
79,Jamestown,42.1,-79.24,81.0,73,75,9.17,US,1595446267
80,Killybegs,54.63,-8.45,60.8,93,90,11.41,IE,1595446267
81,Tottori-shi,35.5,134.23,70.83,92,100,5.26,JP,1595446267
82,Matara,5.95,80.54,78.66,90,79,4.32,LK,1595446268
83,Tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1595446268
84,Verkhnyaya Toyma,62.23,45.0,62.64,91,99,8.25,RU,1595446268
85,Rome,43.21,-75.46,75.99,83,90,4.7,US,1595446072
86,Karonga,-9.93,33.93,66.92,73,8,3.2,MW,1595446268
87,Foligno,42.94,12.7,84.2,39,5,5.82,IT,1595446269
88,Bambous Virieux,-20.34,57.76,69.8,60,75,11.41,MU,1595446269
89,Port Lincoln,-34.73,135.87,48.9,83,1,9.6,AU,1595446269
90,Kareli,22.92,79.07,81.25,76,25,6.38,IN,1595446270
91,Bairiki Village,1.33,172.98,80.6,78,20,11.41,KI,1595446270
92,Lokosovo,61.13,74.82,49.23,71,1,8.9,RU,1595446270
93,Kaitangata,-46.28,169.85,37.0,72,38,10.0,NZ,1595446270
94,Remedios,22.49,-79.55,87.8,62,40,6.93,CU,1595446271
95,Barranca,-10.75,-77.77,65.5,70,1,10.87,PE,1595446271
96,Ponta do Sol,32.67,-17.1,69.01,70,1,3.89,PT,1595446271
97,Lagoa,39.05,-27.98,69.93,72,0,3.27,PT,1595446272
98,Cherskiy,68.75,161.3,70.68,43,100,10.04,RU,1595446272
99,Salisbury,51.07,-1.8,69.8,52,36,11.41,GB,1595446272
100,Deputatsky,69.3,139.9,70.92,46,89,11.61,RU,1595446273
101,Thompson,55.74,-97.86,78.8,47,75,10.29,CA,1595446224
102,Mahébourg,-20.41,57.7,69.8,60,75,11.41,MU,1595446273
103,Mercedes,-34.65,-59.43,59.0,94,100,4.0,AR,1595446273
104,Kuah,6.33,99.84,78.8,100,40,2.24,MY,1595446274
105,Namatanai,-3.67,152.43,78.67,80,99,7.4,PG,1595446274
106,Cayenne,4.93,-52.33,84.2,70,83,6.93,GF,1595446274
107,Mayo,38.89,-76.51,93.99,74,1,13.87,US,1595446274
108,Tuktoyaktuk,69.45,-133.04,44.6,81,75,10.29,CA,1595446275
109,Vadinsk,53.69,43.06,60.42,93,22,6.91,RU,1595446275
110,Port Elizabeth,-33.92,25.57,57.2,100,0,5.82,ZA,1595446275
111,Lorengau,-2.02,147.27,82.13,78,21,8.61,PG,1595446275
112,Bredasdorp,-34.53,20.04,51.8,93,0,5.82,ZA,1595446276
113,Makat,47.65,53.35,81.07,34,5,3.4,KZ,1595446276
114,Saldanha,-33.01,17.94,55.4,87,0,4.7,ZA,1595446276
115,Mhango,-3.28,32.85,67.3,48,4,4.32,TZ,1595446277
116,Husavik,66.04,-17.34,50.0,81,75,13.87,IS,1595446277
117,Kanigoro,-8.13,112.22,71.31,91,90,5.75,ID,1595446277
118,San Fernando del Valle de Catamarca,-28.47,-65.79,55.0,73,1,3.0,AR,1595446277
119,Iskar,43.45,24.27,82.4,58,40,2.24,BG,1595446278
120,Kainan,34.15,135.2,78.01,88,75,3.36,JP,1595446278
121,Kavieng,-2.57,150.8,82.24,78,8,14.97,PG,1595446279
122,Kayerkan,69.35,87.76,51.8,93,3,22.37,RU,1595446279
123,Sennoy,52.15,46.96,64.62,78,81,3.91,RU,1595446279
124,Evensk,61.95,159.23,56.43,66,0,0.85,RU,1595446279
125,Yaan,7.38,8.57,74.97,90,100,7.29,NG,1595446280
126,Anadyr,64.75,177.48,53.6,76,0,11.18,RU,1595446280
127,Chui,-33.7,-53.46,65.26,98,100,5.66,UY,1595446280
128,Magistral'nyy,56.17,107.45,57.51,92,100,1.68,RU,1595446280
129,Torbay,47.67,-52.73,75.0,49,75,19.46,CA,1595446157
130,Ribeira Grande,38.52,-28.7,73.4,69,40,5.82,PT,1595446281
131,Hay River,60.82,-115.8,64.4,88,75,6.93,CA,1595446281
132,Vallenar,-28.57,-70.76,61.61,42,29,8.39,CL,1595446281
133,Tanout,14.97,8.89,94.3,30,73,3.6,NE,1595446282
134,Puerto Ayora,-0.74,-90.35,78.8,61,40,19.46,EC,1595446282
135,Çubuk,40.24,33.03,73.4,38,0,16.11,TR,1595446282
136,Almeirim,-1.52,-52.58,87.04,61,91,1.86,BR,1595446282
137,Ilulissat,69.22,-51.1,51.1,67,50,3.56,GL,1595446283
138,Hamilton,39.18,-84.53,73.4,100,75,3.36,US,1595446165
139,Souillac,-20.52,57.52,69.8,60,75,11.41,MU,1595446283
140,Barrow,71.29,-156.79,39.2,86,90,9.17,US,1595446283
141,Verāval,20.9,70.37,83.61,81,100,13.42,IN,1595446284
142,Geraldton,-28.77,114.6,62.6,93,40,10.29,AU,1595446284
143,Aklavik,68.22,-135.01,48.2,70,75,4.7,CA,1595446284
144,Marrakesh,31.63,-8.01,96.8,26,40,12.75,MA,1595446077
145,Bella Vista,36.43,-94.23,88.0,58,1,5.82,US,1595446284
146,Simao,22.79,100.97,64.27,95,100,2.57,CN,1595446285
147,Chaozhou,23.67,116.64,82.4,88,20,2.24,CN,1595446285
148,Pangnirtung,66.15,-65.71,50.0,87,90,13.87,CA,1595446286
149,Nikolskoye,59.7,30.79,60.8,72,40,11.18,RU,1595446286
150,Mount Isa,-20.73,139.5,55.4,32,0,5.82,AU,1595446286
151,Faanui,-16.48,-151.75,77.09,80,27,19.55,PF,1595446286
152,Khorixas,-20.37,14.97,61.93,28,0,10.27,NA,1595446287
153,Sretensk,52.25,117.71,63.07,85,96,3.04,RU,1595446287
154,Half Moon Bay,37.46,-122.43,73.0,56,40,11.41,US,1595446287
155,Lebu,-37.62,-73.65,53.49,77,20,3.11,CL,1595446287
156,Vieques,18.43,-65.83,87.8,66,40,19.46,PR,1595446288
157,Guerrero Negro,27.98,-114.06,77.11,55,8,12.8,MX,1595446288
158,Ban Tak,17.04,99.08,74.88,88,84,2.98,TH,1595446288
159,Keokuk,40.4,-91.38,82.99,69,40,5.82,US,1595446288
160,Bay Roberts,47.6,-53.26,73.99,100,100,3.0,CA,1595446289
161,Bethel,41.37,-73.41,87.01,62,75,8.05,US,1595446183
162,Cap Malheureux,-19.98,57.61,64.0,75,65,3.0,MU,1595446289
163,Iqaluit,63.75,-68.51,48.2,81,90,9.51,CA,1595446289
164,Lavrentiya,65.58,-171.0,51.12,57,0,2.95,RU,1595446289
165,Laas,46.62,10.7,66.0,100,20,3.36,IT,1595446290
166,Kuril'sk,45.23,147.88,55.42,95,100,10.87,RU,1595446290
167,Cidreira,-30.18,-50.21,69.46,70,99,6.29,BR,1595446290
168,Bonavista,48.65,-53.11,65.95,62,61,2.19,CA,1595446291
169,Sibu,2.3,111.82,77.0,94,40,2.24,MY,1595446291
170,Bobrovytsya,50.75,31.38,66.0,62,23,4.47,UA,1595446291
171,Aleksandrov Gay,50.15,48.57,73.33,51,0,5.88,RU,1595446291
172,Paita,-5.09,-81.11,77.0,65,36,13.87,PE,1595446291
173,Lahaina,20.88,-156.68,80.6,65,20,10.29,US,1595446022
174,Klaksvík,62.23,-6.59,51.8,81,96,5.82,FO,1595446292
175,Qiongshan,20.01,110.35,78.8,94,33,2.24,CN,1595446292
176,Grand Gaube,-20.01,57.66,64.0,75,70,3.0,MU,1595446292
177,Lashio,22.93,97.75,69.12,100,100,1.88,MM,1595446007
178,Kununurra,-15.77,128.73,53.6,41,1,10.02,AU,1595446293
179,Samarai,-10.62,150.67,76.48,82,13,10.67,PG,1595446293
180,Arrondissement de Gap,44.67,6.0,55.9,78,0,4.85,FR,1595446294
181,Springbok,-29.66,17.89,57.2,33,0,6.44,ZA,1595446294
182,Pevek,69.7,170.31,52.7,51,100,9.46,RU,1595446294
183,Bathsheba,13.22,-59.52,87.8,55,40,19.46,BB,1595446294
184,Miastko,54.0,16.98,60.01,61,11,5.53,PL,1595446295
185,Hilo,19.73,-155.09,80.6,61,90,3.36,US,1595446051
186,Ust'-Ilimsk,58.0,102.66,55.13,97,64,4.09,RU,1595446295
187,Boyolangu,-8.12,111.89,73.2,90,90,5.1,ID,1595446295
188,Kapit,2.02,112.93,74.35,95,100,0.38,MY,1595446295
189,Hong Kong,22.29,114.16,86.0,74,89,10.0,HK,1595446204
190,Fairbanks,64.84,-147.72,55.99,82,90,2.62,US,1595446244
191,Lázaro Cárdenas,17.96,-102.2,86.59,69,100,3.74,MX,1595446296
192,Manzhouli,49.6,117.43,63.36,74,21,5.23,CN,1595446296
193,Tiksi,71.69,128.87,51.69,83,96,3.06,RU,1595446297
194,Port Keats,-14.25,129.55,63.97,40,24,13.44,AU,1595446297
195,Zhigansk,66.77,123.37,57.51,70,13,16.8,RU,1595446297
196,Coquimbo,-29.95,-71.34,60.8,59,40,11.41,CL,1595446298
197,Chenghai,23.46,116.77,82.4,88,20,2.24,CN,1595446298
198,Kaduqli,11.02,29.72,73.47,89,92,8.63,SD,1595446298
199,Mistelbach,48.57,16.58,75.99,68,68,6.78,AT,1595446298
200,Arraial do Cabo,-22.97,-42.03,77.0,73,0,9.17,BR,1595446299
201,Gold Coast,-28.0,153.43,59.0,67,100,6.93,AU,1595446299
202,Castro,-24.79,-50.01,67.87,64,91,3.18,BR,1595446299
203,Toro,4.61,-76.08,78.8,78,75,6.4,CO,1595446299
204,Whitehorse,60.72,-135.05,63.0,77,75,2.24,CA,1595446300
205,Valparaíso,-33.04,-71.63,59.0,76,40,6.93,CL,1595446077
206,Codrington,-38.27,141.97,46.62,81,100,3.44,AU,1595446300
207,Olinda,-8.01,-34.86,82.4,58,1,13.87,BR,1595446300
208,Alta Floresta,-9.88,-56.09,96.8,23,0,5.82,BR,1595446301
209,Leningradskiy,69.38,178.42,58.86,48,100,6.55,RU,1595446301
210,Kiryat Gat,31.61,34.76,81.0,62,0,2.04,IL,1595446202
211,Mabaruma,8.2,-59.78,83.17,74,69,6.31,GY,1595446302
212,Okhotsk,59.38,143.3,55.13,74,0,3.2,RU,1595446302
213,Lüderitz,-26.65,15.16,59.0,77,0,2.24,NA,1595446303
214,Shenjiamen,29.96,122.3,79.39,89,100,22.82,CN,1595446303
215,Amapá,1.0,-52.0,79.74,94,99,2.26,BR,1595446303
216,Kenai,60.55,-151.26,57.99,82,90,8.72,US,1595446303
217,Bijie,27.31,105.29,66.06,92,100,9.17,CN,1595446303
218,Harwich,51.94,1.28,64.99,61,98,8.99,GB,1595446304
219,Bariloche,-41.15,-71.31,32.0,94,90,11.41,AR,1595446304
220,Bac Lieu,9.29,105.72,82.04,75,86,3.04,VN,1595446304
221,Tamiahua,21.27,-97.45,89.01,61,7,9.26,MX,1595446304
222,Ballina,-28.87,153.57,53.6,81,40,8.05,AU,1595446304
223,Manta,-0.95,-80.73,77.0,78,75,10.29,EC,1595446214
224,Kloulklubed,7.04,134.26,84.11,72,11,8.41,PW,1595446305
225,Yichun,47.7,128.9,59.65,79,2,2.06,CN,1595446305
226,Saint-Philippe,-21.36,55.77,68.0,56,90,8.05,RE,1595446305
227,Touros,-5.2,-35.46,78.8,74,75,12.75,BR,1595446306
228,Rohru,31.22,77.75,58.86,73,40,2.06,IN,1595446306
229,Upernavik,72.79,-56.15,48.11,65,0,12.66,GL,1595446306
230,Telimele,10.92,-13.33,73.38,96,100,3.51,GN,1595446306
231,Quesnel,53.0,-122.5,71.6,49,1,3.36,CA,1595446307
232,La Ronge,55.1,-105.28,77.0,61,75,8.05,CA,1595446307
233,San Patricio,19.22,-104.7,91.4,70,40,11.41,MX,1595446307
234,Port Blair,11.67,92.75,82.17,75,100,1.25,IN,1595446307
235,Sagua de Tánamo,20.58,-75.24,90.84,54,22,9.46,CU,1595446308
236,Bocas del Toro,9.33,-82.25,69.01,83,100,7.0,PA,1595446308
237,Sinnamary,5.38,-52.95,82.06,79,100,8.08,GF,1595446308
238,Paamiut,61.99,-49.67,47.1,81,98,9.91,GL,1595446308
239,Kumul,42.8,93.45,81.28,27,100,8.3,CN,1595446308
240,Payson,40.04,-111.73,69.8,64,90,10.29,US,1595446309
241,Norman Wells,65.28,-126.83,57.2,76,90,14.99,CA,1595446309
242,Walvis Bay,-22.96,14.51,71.6,29,0,6.93,NA,1595446309
243,Syriam,16.77,96.24,78.8,88,75,3.36,MM,1595446309
244,Dicabisagan,17.08,122.42,80.06,79,1,2.39,PH,1595446310
245,Camacha,33.08,-16.33,69.8,73,40,12.75,PT,1595446310
246,Jacareacanga,-6.22,-57.75,95.0,39,0,4.7,BR,1595446311
247,Fortuna,40.6,-124.16,62.01,82,40,8.05,US,1595446207
248,Mokolo,10.74,13.8,76.01,77,58,0.67,CM,1595446311
249,Ulvik,60.57,6.92,53.01,66,40,18.34,NO,1595446311
250,Esim,4.87,-2.24,75.33,88,90,8.61,GH,1595446312
251,Severo-Kuril'sk,50.68,156.12,50.5,86,47,0.83,RU,1595446312
252,Kamenka,51.32,42.77,66.99,82,0,8.21,RU,1595446312
253,Miranda,3.25,-76.23,82.4,54,75,16.11,CO,1595446312
254,Inuvik,68.35,-133.72,48.2,66,75,3.36,CA,1595446313
255,Hasaki,35.73,140.83,73.4,100,75,5.82,JP,1595446313
256,Longyan,25.11,117.02,73.35,87,96,0.72,CN,1595446313
257,Isangel,-19.55,169.27,68.0,72,3,4.7,VU,1595446314
258,Stornoway,58.21,-6.39,57.99,100,75,4.7,GB,1595446314
259,Mana,5.66,-53.78,83.34,72,86,8.5,GF,1595446314
260,Soyo,-6.13,12.37,71.89,83,4,8.05,AO,1595446314
261,Moranbah,-22.0,148.05,56.39,94,90,15.12,AU,1595446314
262,Gillette,44.29,-105.5,93.2,17,1,5.82,US,1595446315
263,Rogoźno,52.75,16.99,64.0,51,42,3.36,PL,1595446315
264,Manaus,-3.1,-60.02,87.8,62,40,2.24,BR,1595446098
265,Burdur,37.72,30.29,75.2,33,0,9.17,TR,1595446315
266,Teano,41.25,14.07,77.0,88,0,5.82,IT,1595446316
267,Porto Santo,33.07,-16.34,69.8,73,40,12.75,PT,1595446316
268,Talnakh,69.49,88.4,51.8,93,14,22.37,RU,1595446316
269,Lock Haven,41.14,-77.45,86.0,85,100,1.01,US,1595446317
270,Airai,-8.93,125.41,53.83,56,96,3.85,TL,1595446318
271,Aykhal,66.0,111.5,55.4,93,90,8.95,RU,1595446318
272,Gazojak,41.19,61.4,89.33,24,100,19.19,TM,1595446318
273,Virginia Beach,36.85,-75.98,97.0,47,75,8.05,US,1595445740
274,Padang,-0.95,100.35,73.4,100,40,5.82,ID,1595446319
275,Fundão,-19.93,-40.4,79.0,65,20,11.41,BR,1595446319
276,Tegul'det,57.31,88.17,49.73,97,100,4.32,RU,1595446319
