,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
277,Grindavik,63.84,-22.43,53.6,66,20,13.87,IS,1595446320
278,Ishigaki,24.34,124.16,84.67,82,58,11.5,JP,1595446320
279,Xai-Xai,-25.05,33.64,60.75,79,0,6.58,MZ,1595446320
280,São Filipe,14.9,-24.5,78.35,83,89,7.9,CV,1595446321
281,Bilma,18.69,12.92,95.79,21,54,1.57,NE,1595446321
282,Sinop Province,41.77,34.87,61.74,65,0,3.09,TR,1595446321
283,Santa Comba,43.03,-8.81,79.0,61,1,8.05,ES,1595446321
284,Sistranda,63.73,8.83,51.8,76,20,17.22,NO,1595446322
285,Bandarbeyla,9.49,50.81,77.41,77,50,29.93,SO,1595446322
286,Nabire,-3.37,135.48,75.43,89,39,3.06,ID,1595446322
287,Richards Bay,-28.78,32.04,61.05,85,0,6.93,ZA,1595446323
288,Dingle,11.0,122.67,76.5,86,60,3.56,PH,1595446323
289,Hithadhoo,-0.6,73.08,83.89,71,44,7.02,MV,1595446244
290,Bocanda,7.06,-4.5,73.42,95,100,5.97,CI,1595446323
291,Kandiaro,27.06,68.21,94.01,45,56,14.2,PK,1595446324
292,Namtsy,62.72,129.67,60.8,77,54,6.71,RU,1595446324
293,‘Āhuimanu,21.44,-157.84,80.6,74,20,4.7,US,1595446237
294,Taoudenni,22.68,-3.98,109.08,14,79,15.48,ML,1595446324
295,Longyearbyen,78.22,15.64,46.4,81,75,13.87,SJ,1595446325
296,Kutum,14.2,24.67,75.88,63,85,19.17,SD,1595446325
297,Vanino,49.09,140.25,56.01,89,100,3.65,RU,1595446325
298,Muros,42.78,-9.06,79.0,61,0,11.99,ES,1595446326
299,Sur,22.57,59.53,84.9,70,18,20.36,OM,1595446326
300,Beidao,34.57,105.89,68.99,82,100,3.85,CN,1595446326
301,Ridgecrest,35.62,-117.67,95.0,8,1,12.75,US,1595446110
302,Noumea,-22.28,166.46,68.0,82,90,3.36,NC,1595446038
303,Bekwai,6.45,-1.58,72.09,97,100,3.87,GH,1595446327
304,Ketchikan,55.34,-131.65,62.6,72,75,11.41,US,1595446327
305,Haapiti,-17.57,-149.87,78.8,69,75,2.24,PF,1595446327
306,Strezhevoy,60.73,77.59,53.6,76,20,6.71,RU,1595446328
307,Bālugaon,20.17,85.1,79.86,87,100,2.73,IN,1595446328
308,Bauta,22.98,-82.55,80.6,83,75,3.36,CU,1595446328
309,Traverse City,44.76,-85.62,82.4,58,40,9.17,US,1595446099
310,Dolinsk,47.35,142.8,53.6,93,40,6.71,RU,1595446329
311,Port Hardy,50.7,-127.42,62.6,72,75,12.75,CA,1595446224
312,Storsteinnes,69.24,19.23,50.0,93,75,18.34,NO,1595446329
313,La Palma del Condado,37.39,-6.55,88.0,62,2,5.01,ES,1595446329
314,Sakakah,29.97,40.21,98.6,12,0,9.17,SA,1595446330
315,Saint-Augustin,51.23,-58.65,70.41,43,96,11.18,CA,1595446330
316,Prince Rupert,54.32,-130.32,57.2,87,90,4.7,CA,1595446234
317,Katsuura,35.13,140.3,77.0,92,100,2.89,JP,1595446331
318,Qinhuangdao,39.93,119.59,69.62,79,100,8.95,CN,1595446331
319,Alofi,-19.06,-169.92,75.2,94,29,4.7,NU,1595446331
320,Oranjemund,-28.55,16.43,60.4,67,0,4.36,NA,1595446331
321,Broome,42.25,-75.83,81.0,65,75,10.29,US,1595446332
322,Ostrovnoy,68.05,39.51,59.68,78,70,8.95,RU,1595446332
323,Portland,45.52,-122.68,72.0,68,90,4.7,US,1595445926
324,Saint George,37.1,-113.58,98.01,19,1,6.93,US,1595446223
325,Linhares,-19.39,-40.07,78.87,53,0,7.27,BR,1595446145
326,Ust-Kuyga,70.02,135.6,75.27,55,80,0.94,RU,1595446333
327,Aras,42.56,-2.36,84.2,45,15,2.24,ES,1595446333
328,Erzin,36.96,36.2,82.0,82,2,0.81,TR,1595446333
329,Malpe,13.35,74.72,82.4,83,75,1.12,IN,1595446333
330,Mineiros,-17.57,-52.55,82.69,29,0,2.68,BR,1595446334
331,Lompoc,34.64,-120.46,66.99,72,0,5.82,US,1595446328
332,Koutiala,12.39,-5.46,81.81,72,98,7.96,ML,1595446334
333,Dali,25.7,100.18,63.82,86,100,5.03,CN,1595446335
334,Paracuru,-3.41,-39.03,80.01,67,7,14.0,BR,1595446335
335,Gizo Government Station,-8.1,156.84,80.76,78,42,8.19,SB,1595446335
336,Kupang,-10.17,123.58,73.15,79,92,12.1,ID,1595446059
337,Strelka,58.07,93.03,49.93,96,22,3.76,RU,1595446336
338,Huarmey,-10.07,-78.15,67.15,66,3,9.84,PE,1595446336
339,Mtsensk,53.28,36.57,53.74,87,1,9.57,RU,1595446336
340,Nome,64.5,-165.41,53.01,87,90,3.53,US,1595446102
341,Cururupu,-1.83,-44.87,83.25,62,0,4.65,BR,1595446336
342,Tsabong,-26.02,22.4,49.19,48,0,3.76,BW,1595446337
343,Inhambane,-23.86,35.38,63.81,72,11,7.81,MZ,1595446337
344,Omsukchan,62.53,155.8,59.65,39,30,5.93,RU,1595446337
345,Yulara,-25.24,130.99,42.8,75,0,8.05,AU,1595446338
346,Wewak,-3.55,143.63,77.43,86,5,7.18,PG,1595446338
347,Acapulco de Juárez,16.86,-99.89,86.0,70,40,5.82,MX,1595446338
348,Betioky,-23.72,44.38,60.39,60,0,11.92,MG,1595446339
349,Saint-Joseph,-21.37,55.62,68.0,56,90,8.05,RE,1595446339
350,Adré,13.47,22.2,71.4,81,100,10.4,TD,1595446339
351,Werda,-25.27,23.28,56.03,31,0,5.14,BW,1595446340
352,San Cristobal,7.77,-72.22,87.8,45,40,27.51,VE,1595446221
353,Notre-Dame-du-Lac,47.61,-68.8,79.0,34,1,5.82,CA,1595446340
354,Gamba,-2.65,10.0,70.65,86,9,6.46,GA,1595446340
355,Mumbai,19.01,72.85,84.2,83,75,5.03,IN,1595446228
356,Gao,16.64,1.64,96.6,27,0,7.25,ML,1595446341
357,Mponela,-13.53,33.74,54.39,72,12,6.64,MW,1595446341
358,Arlit,18.74,7.39,99.73,18,59,4.88,NE,1595446343
359,Mimongo,-1.62,11.61,69.78,83,89,2.08,GA,1595446343
360,Salalah,17.02,54.09,80.6,88,75,9.17,OM,1595446344
361,Paysandu,-32.32,-58.08,62.01,89,100,1.99,UY,1595446106
362,Mulchén,-37.72,-72.23,55.4,66,40,3.24,CL,1595446344
363,Flinders,-34.58,150.86,48.0,85,9,3.0,AU,1595446344
364,Yenagoa,4.92,6.26,75.0,90,77,5.17,NG,1595446344
365,Alamosa,37.47,-105.87,78.8,24,1,4.7,US,1595446108
366,Nouadhibou,20.93,-17.03,73.4,83,18,19.46,MR,1595446345
367,Laurinburg,34.77,-79.46,95.0,49,40,9.17,US,1595446345
368,Sulęcin,52.44,15.12,68.0,55,38,1.12,PL,1595446345
369,Cabo San Lucas,22.89,-109.91,90.0,65,5,19.46,MX,1595446203
370,Mitsamiouli,-11.38,43.28,76.21,60,5,10.04,KM,1595446346
371,Meadow Lake,34.8,-106.54,84.2,56,40,18.34,US,1595446346
372,Lagos,6.58,3.75,77.0,88,20,5.82,NG,1595446175
373,Batagay-Alyta,67.8,130.41,64.53,60,0,2.75,RU,1595446347
374,Tongren,27.72,109.19,74.41,87,28,2.06,CN,1595446347
375,Hervey Bay,-25.3,152.85,57.99,95,100,11.99,AU,1595446347
376,Severnoye,56.35,78.36,47.3,83,13,6.04,RU,1595446347
377,Kangshan,28.88,116.43,80.94,77,100,8.7,CN,1595446347
378,The Valley,18.22,-63.06,87.8,62,40,17.22,AI,1595446348
379,Środa Wielkopolska,52.23,17.28,64.0,60,5,1.99,PL,1595446348
380,Dosso,13.05,3.19,92.25,42,45,2.73,NE,1595446348
381,Acaponeta,22.5,-105.36,97.66,37,0,9.06,MX,1595446348
382,Egvekinot,66.32,-179.17,54.5,61,66,3.56,RU,1595446348
383,Asău,46.43,26.4,62.01,96,95,2.93,RO,1595446349
384,Chik,54.99,82.43,51.8,100,11,6.71,RU,1595446349
385,Yar-Sale,66.83,70.83,46.72,79,55,7.14,RU,1595446349
386,Bengkulu,-3.8,102.27,74.34,89,90,4.41,ID,1595446349
387,São Félix do Xingu,-6.64,-51.99,93.2,29,0,3.71,BR,1595446350
388,Kirakira,-10.45,161.92,78.53,84,90,11.68,SB,1595446350
389,Orlik,52.52,99.83,51.69,83,99,1.59,RU,1595446350
390,College,64.86,-147.8,55.4,76,75,4.7,US,1595446350
391,Challapata,-18.9,-66.77,58.01,26,0,7.74,BO,1595446351
392,Honiara,-9.43,159.95,73.4,100,75,3.36,SB,1595446230
393,Beringovskiy,63.05,179.32,48.83,77,0,5.1,RU,1595446351
394,Prado,-17.34,-39.22,72.21,67,0,3.96,BR,1595446351
395,Bubaque,11.28,-15.83,80.87,81,74,10.13,GW,1595446352
396,Fort Myers Beach,26.45,-81.95,86.0,70,20,11.41,US,1595446352
397,Freeport,40.66,-73.58,93.0,52,1,10.29,US,1595446352
398,Caborca,30.58,-111.1,93.0,45,1,3.0,MX,1595446352
399,Santa Rosa,14.31,121.11,84.2,79,1,5.82,PH,1595446189
400,São João da Barra,-21.64,-41.05,80.6,57,0,13.87,BR,1595446286
401,Buchanan,5.88,-10.05,75.2,94,75,8.61,LR,1595446353
402,Safi,32.3,-9.24,72.54,82,0,16.71,MA,1595446353
403,Katherine,-14.47,132.27,59.0,41,0,8.05,AU,1595446353
404,Oddur,4.12,43.89,73.76,65,80,19.42,SO,1595446353
405,Adrar,20.5,-10.07,104.76,9,3,9.89,MR,1595446354
406,Coracora,-15.03,-73.78,60.1,31,0,10.33,PE,1595446354
407,Kostomuksha,64.57,30.58,58.69,94,100,8.23,RU,1595446354
408,Pangai,-19.8,-174.35,73.4,60,20,6.93,TO,1595446354
409,Ca Mau,9.18,105.15,78.01,88,51,1.59,VN,1595446355
410,Saint Anthony,45.02,-93.22,68.0,63,90,8.05,US,1595446355
411,Kamoke,31.97,74.22,84.2,70,0,3.36,PK,1595446355
412,Saint-Louis,16.33,-15.0,98.6,47,2,5.44,SN,1595446355
413,Tilichiki,60.47,166.1,51.1,73,63,2.37,RU,1595446356
414,Abu Samrah,35.3,37.18,76.41,49,0,9.28,SY,1595446356
415,Fort Nelson,58.81,-122.7,59.0,87,90,11.41,CA,1595446230
416,Emerald,-23.53,148.17,55.4,100,90,8.05,AU,1595446356
417,Olafsvik,64.89,-23.71,49.8,68,83,9.57,IS,1595446357
418,Evanston,42.04,-87.69,88.0,58,75,9.17,US,1595446169
419,Paso de los Toros,-32.82,-56.52,68.0,82,90,5.82,UY,1595446357
420,Dombarovskiy,50.76,59.54,64.8,81,79,10.33,RU,1595446357
421,Marawi,8.0,124.29,75.99,91,100,5.99,PH,1595446357
422,Khāsh,28.22,61.22,71.73,63,0,3.36,IR,1595446358
423,Isil'kul',54.91,71.27,59.56,76,14,1.63,RU,1595446358
424,San Miguel de Tucumán,-26.82,-65.22,59.0,54,90,4.7,AR,1595446092
425,Kota Tinggi,1.74,103.9,75.2,94,20,1.34,MY,1595446358
426,Turukhansk,65.82,87.98,55.78,69,100,11.01,RU,1595446359
427,Ugoofaaru,5.67,73.0,82.92,77,100,22.26,MV,1595446359
428,Chingirlau,51.09,54.08,67.05,73,66,4.45,KZ,1595446359
429,Zaraza,9.35,-65.32,85.98,76,41,3.53,VE,1595446359
430,Kyra,49.58,111.98,62.58,62,99,1.66,RU,1595446360
431,Nevers,46.99,3.16,82.4,34,1,6.93,FR,1595446360
432,Yangi Marg`ilon,40.43,71.72,78.8,36,0,9.17,UZ,1595446360
433,Pisco,-13.7,-76.22,66.99,82,3,9.17,PE,1595446360
434,Darhan,49.49,105.92,65.61,78,84,4.79,MN,1595446361
435,Torrington,41.8,-73.12,87.01,68,68,1.99,US,1595446249
436,Ngunguru,-35.62,174.5,52.0,3,7,7.0,NZ,1595446361
437,Sibolga,1.74,98.78,75.81,88,100,2.39,ID,1595446361
438,Ahipara,-35.17,173.17,56.34,73,26,13.47,NZ,1595446362
439,Manokwari,-0.87,134.08,79.39,72,2,3.36,ID,1595446362
440,Kupino,54.37,77.3,58.05,86,0,3.91,RU,1595446362
441,Lapta,35.34,33.18,84.2,58,0,11.41,CY,1595446362
442,Chagoda,59.16,35.33,52.63,96,0,4.23,RU,1595446363
443,Jumla,29.27,82.18,61.84,71,100,2.26,NP,1595446363
444,Avera,33.19,-82.53,93.2,44,1,5.82,US,1595446363
445,Havre-St-Pierre,50.23,-63.6,66.2,63,1,23.04,CA,1595446363
446,Port Hedland,-20.32,118.57,60.8,55,0,6.93,AU,1595446363
447,Aligoodarz,33.4,49.69,66.52,27,2,1.86,IR,1595446364
448,Antalaha,-14.9,50.28,66.24,79,91,11.34,MG,1595446364
449,Urengoy,65.97,78.37,51.69,74,87,16.28,RU,1595446364
450,Dwārka,22.24,68.97,84.06,79,23,15.12,IN,1595446364
451,Kavaratti,10.57,72.64,82.51,80,100,15.35,IN,1595446365
452,Haines Junction,60.75,-137.51,64.15,48,100,2.91,CA,1595446365
453,Maragogi,-9.01,-35.22,75.16,79,76,7.74,BR,1595446365
454,Vestmannaeyjar,63.44,-20.27,55.4,82,40,4.7,IS,1595446365
455,Catuday,16.29,119.81,81.46,82,1,4.81,PH,1595446365
456,Baykit,61.67,96.37,54.34,85,100,4.03,RU,1595446366
457,Barcelos,41.54,-8.62,80.01,78,0,4.7,PT,1595446366
458,Nhulunbuy,-12.23,136.77,69.8,88,63,3.36,AU,1595446366
459,Dolný Kubín,49.21,19.3,64.4,68,0,2.24,SK,1595446366
460,Pachino,36.72,15.09,77.0,65,0,1.12,IT,1595446367
461,Havøysund,71.0,24.66,48.2,93,75,9.17,NO,1595446367
462,Santa Isabel Rio Negro,-0.41,-65.02,89.83,50,8,3.98,BR,1595446367
463,Vila Velha,-20.33,-40.29,79.0,65,20,11.41,BR,1595446367
464,Melito di Porto Salvo,37.92,15.77,79.0,88,20,5.82,IT,1595446368
465,Nemuro,43.32,145.57,59.85,97,100,12.33,JP,1595446368
466,Maxcanú,20.58,-89.98,95.0,52,75,5.14,MX,1595446368
467,Tessalit,20.2,1.01,95.2,22,23,2.37,ML,1595446368
468,Badou,7.58,0.6,73.74,89,98,2.73,TG,1595446369
469,Keelung,25.13,121.74,89.01,79,20,4.7,TW,1595446369
470,Zyryanka,65.75,150.85,72.99,40,78,13.8,RU,1595446369
471,Cockburn Town,21.46,-71.14,86.0,66,40,13.87,TC,1595446369
472,Saint-François,46.42,3.91,75.2,60,40,6.93,FR,1595446370
473,Badin,24.66,68.84,86.31,71,99,18.9,PK,1595446370
474,Manicoré,-5.81,-61.3,91.4,55,40,5.82,BR,1595446370
475,San Vicente,-26.62,-54.13,73.17,63,100,2.15,AR,1595446370
476,Bahir Dar,11.59,37.39,62.94,90,100,4.0,ET,1595446371
477,Great Bend,38.36,-98.76,91.0,58,20,11.41,US,1595446371
478,Inverell,-29.78,151.12,43.0,87,87,3.49,AU,1595446371
479,Praia,14.92,-23.51,82.4,69,20,10.29,CV,1595446371
480,Sobolevo,54.43,31.9,52.09,87,0,9.48,RU,1595446371
481,Salinópolis,-0.61,-47.36,81.57,80,100,11.63,BR,1595446372
482,Baruun-Urt,46.68,113.28,70.52,43,98,9.33,MN,1595446372
483,Provideniya,64.38,-173.3,44.6,87,0,6.71,RU,1595446372
484,Qom,34.64,50.88,88.7,11,51,8.88,IR,1595446372
485,Monrovia,6.3,-10.8,75.2,94,75,10.89,LR,1595446100
486,Tymovskoye,50.85,142.66,52.61,94,100,4.0,RU,1595446373
487,Mehamn,71.04,27.85,48.2,100,75,14.99,NO,1595446373
488,Leova,46.48,28.26,71.91,60,100,5.95,MD,1595446373
489,Arrondissement de Pontarlier,46.83,6.25,68.0,86,3,5.01,FR,1595446373
490,Caluquembe,-13.78,14.68,54.1,40,0,2.3,AO,1595446374
491,Te Anau,-45.42,167.72,33.37,89,90,3.6,NZ,1595446374
492,Ayan,56.45,138.17,52.14,95,99,12.82,RU,1595446374
493,Kahului,20.89,-156.47,82.4,58,20,5.82,US,1595446374
494,Ovsyanka,55.96,92.55,55.4,87,25,8.95,RU,1595446375
495,Cairns,-16.92,145.77,68.0,82,16,11.41,AU,1595446295
496,Hoima,1.44,31.34,66.13,91,100,1.3,UG,1595446375
497,Nizhniy Baskunchak,48.22,46.83,81.43,34,99,5.84,RU,1595446375
498,Paragominas,-2.97,-47.48,87.3,54,17,3.02,BR,1595446375
499,Karratha,-20.74,116.85,68.38,52,0,5.46,AU,1595446376
500,Ranau,5.95,116.66,77.0,94,20,3.36,MY,1595446376
501,Korla,41.76,86.15,82.0,71,99,4.0,CN,1595446376
502,Roshchino,60.25,29.61,62.01,76,81,10.27,RU,1595446376
503,Bone,51.97,12.14,63.0,60,86,4.85,DE,1595446377
504,Alberton,46.82,-64.07,73.27,56,92,4.97,CA,1595446377
505,Aberdeen,57.14,-2.1,57.0,87,20,5.82,GB,1595446200
506,Kohima,25.67,94.12,65.08,100,100,0.81,IN,1595446377
507,Bridlington,54.08,-0.19,64.4,68,87,4.7,GB,1595446378
508,Krutinka,56.01,71.51,57.94,80,15,7.87,RU,1595446378
509,Mutoko,-17.4,32.23,49.66,78,0,4.38,ZW,1595446378
510,Bodden Town,19.28,-81.25,86.0,79,40,11.41,KY,1595446378
511,Moindou,-21.69,165.68,62.6,82,90,3.36,NC,1595446378
512,Tromsø,69.65,18.96,50.0,87,75,9.17,NO,1595446379
513,Inyonga,-6.72,32.07,67.51,46,0,3.98,TZ,1595446379
514,Morehead,37.27,-87.18,86.0,66,40,3.36,US,1595446379
515,Pitimbu,-7.47,-34.81,78.8,69,6,13.87,BR,1595446379
516,Chulym,55.1,80.96,50.63,93,17,5.41,RU,1595446380
517,Nyurba,63.28,118.33,54.84,92,94,5.77,RU,1595446380
518,Kearney,40.7,-99.08,84.2,74,40,13.87,US,1595446380
519,Liverpool,53.41,-2.98,62.6,77,75,9.17,GB,1595446162
520,Dalbandin,28.89,64.41,83.07,48,0,8.28,PK,1595446381
521,Redmond,47.67,-122.12,64.99,86,99,2.13,US,1595446381
522,Praia,14.92,-23.51,82.4,69,20,10.29,CV,1595446371
523,Key West,24.56,-81.78,82.4,74,20,8.05,US,1595446382
524,Shushenskoye,53.33,91.94,57.2,93,50,4.47,RU,1595446382
525,Chernyshevskiy,63.01,112.47,47.34,99,76,4.79,RU,1595446382
526,Pindi Gheb,33.24,72.27,80.6,78,20,4.7,PK,1595446382
527,Auki,-8.77,160.7,77.7,85,96,3.91,SB,1595446384
528,Maceió,-9.67,-35.74,75.2,78,75,9.17,BR,1595446384
529,Morros,-9.45,-46.3,88.27,31,38,9.06,BR,1595446385
530,Maneromango,-7.2,38.78,64.4,68,33,11.41,TZ,1595446385
531,Tungor,53.38,142.96,50.63,93,100,10.33,RU,1595446385
532,Altamira,-3.2,-52.21,89.6,52,75,2.24,BR,1595446386
533,Shubarkuduk,49.14,56.49,69.19,70,1,3.51,KZ,1595446386
534,Bam,29.11,58.36,85.35,13,0,9.01,IR,1595446386
535,Andapa,-14.65,49.65,58.59,83,87,2.73,MG,1595446387
536,Lumeje,-11.55,20.78,61.99,33,0,5.57,AO,1595446387
537,Mangai,-4.05,19.53,78.84,39,100,0.98,CD,1595446387
538,Sola,-13.88,167.55,78.8,69,40,10.29,VU,1595446387
539,Tambopata,-12.73,-69.18,87.8,66,75,2.24,PE,1595446388
540,Altamont,42.21,-121.74,86.0,32,1,4.7,US,1595446388
541,Krasnyy Chikoy,50.36,108.75,61.84,72,69,3.74,RU,1595446388
542,Vavuniya,8.75,80.5,77.65,82,95,5.64,LK,1595446388
543,Nantucket,41.28,-70.1,78.8,78,1,10.29,US,1595446389
544,Bolobo,-2.17,16.23,80.13,46,96,3.02,CD,1595446389
545,Rocha,-34.48,-54.33,66.56,97,100,4.97,UY,1595446389
546,San Quintín,30.48,-115.95,72.3,66,9,14.47,MX,1595446389
547,Encheng,22.18,112.3,78.37,87,28,1.03,CN,1595446390
548,Pyaozerskiy,65.83,31.17,58.73,87,77,8.52,RU,1595446390
549,Marzuq,14.4,46.47,81.81,55,0,6.87,YE,1595446390
550,Novy Urengoy,66.08,76.63,50.88,71,5,15.75,RU,1595446390
551,George Town,5.41,100.34,78.8,94,40,2.24,MY,1595446391
552,Kousséri,12.08,15.03,80.6,78,20,5.82,CM,1595446391
553,Fukuechō,32.69,128.84,78.24,92,100,3.18,JP,1595446392
554,Porto da Folha,-9.92,-37.28,77.74,62,16,11.83,BR,1595446392
